opportunity_id,account_name,account_id,segment,stage,amount_brl,close_date,owner_email,forecast_category,created_date,days_in_stage,hubspot_contact_id
OPP-2024184,nexus,ACC-1102,SMB,Negotiation,19653.27,2024-09-03,ana.lima@raptorsoft.com,Commit,2024-05-25,78,HS-90718
OPP-2024185,DataPrime,ACC-1106,Mid-Market,Qualification,112393.36,2025-01-05,carlos@raptorsoft.com,Best Case,2024-02-08,98,HS-90683
OPP-2024186,Amplia Soluções Ltda,ACC-1113,Enterprise,Closed Lost,252348.13,2024-05-16,carlos@raptorsoft.com,Best Case,2024-04-18,8,
OPP-2024187,INNOVA,ACC-1116,SMB,Closed Won,18611.03,2025-01-20,carlos@raptorsoft.com,Omit,2024-02-15,600,HS-90799
OPP-2024188,skyops,ACC-1108,SMB,Closed Lost,30845.75,2024-11-02,pedro@raptorsoft.com,best case,2024-07-11,6,HS-90164
OPP-2024189,Fluxo Sistemas Ltda,ACC-1105,SMB,Prospecting,16292.05,2024-11-08,pedro@raptorsoft.com,commit,2023-12-06,24,HS-90556
OPP-2024190,BETA SOLUTIONS,ACC-1101,SMB,Closed Won,17627.92,2024-11-17,mariana@raptorsoft.com,commit,2024-02-04,83,HS-90698
OPP-2024191,ConnectWave,ACC-1107,Mid-Market,Proposal,32964.69,2024-07-14,carlos@raptorsoft.com,Omit,2023-10-25,25,HS-90171
OPP-2024192,TapFlow,,Mid-Market,Qualification,133794.1,2024-11-24,,Pipeline,2023-09-06,92,HS-90182
OPP-2024193,Mind Box,ACC-1111,Mid-Market,Discovery,78533.76,2024-04-19,,Pipeline,2024-02-19,109,
OPP-2024194,BETA SOLUTIONS,ACC-1101,Mid-Market,Proposal,86878.52,2024-12-30,ana.lima@raptorsoft.com,Commit,2024-09-21,114,HS-90011
OPP-2024195,mindbox,ACC-1111,SMB,Negotiation,23800.32,2024-06-22,pedro@raptorsoft.com,best case,2023-07-06,25,HS-90769
OPP-2024196,bluepath,ACC-1119,Mid-Market,Discovery,53690.11,2023-08-29,joao@raptorsoft.com,Pipeline,2023-09-13,41,HS-90313
OPP-2024197,VERTICE TECH,ACC-1103,Mid-Market,Proposal,124279.21,2024-10-07,carlos@raptorsoft.com,Best Case,2024-05-19,60,
OPP-2024198,Zentra Tech,ACC-1112,Enterprise,Negotiation,390970.15,2025-01-28,pedro@raptorsoft.com,Pipeline,2023-11-21,76,HS-90556
OPP-2024199,Rush Flow,ACC-1110,Mid-Market,Discovery,100752.09,2024-08-12,joao@raptorsoft.com,Omit,2023-11-30,109,HS-90143
OPP-2024200,Vertice Tech,ACC-1103,Enterprise,Closed Won,404588.95,2024-04-10,pedro@raptorsoft.com,Pipeline,2023-11-27,47,HS-90040
OPP-2024201,DataPrime,ACC-1106,Mid-Market,Closed Lost,98419.22,2025-01-31,mariana@raptorsoft.com,Pipeline,2024-04-06,29,HS-90353
OPP-2024202,POLARE,ACC-1109,Mid-Market,Qualification,91744.95,2024-12-15,mariana@raptorsoft.com,Pipeline,2024-11-25,93,
OPP-2024203,Innova Tech,ACC-1116,SMB,Qualification,10639.52,2023-10-10,mariana@raptorsoft.com,Best Case,2023-08-14,73,HS-90221
OPP-2024204,BLUEPATH,ACC-1119,Enterprise,Qualification,428181.27,2024-11-23,carlos@raptorsoft.com,Best Case,2023-12-22,77,
OPP-2024205,Orbit,ACC-1104,Enterprise,Closed Won,290347.67,2024-12-02,pedro@raptorsoft.com,best case,2024-11-28,1,HS-90379
OPP-2024206,Amplia,ACC-1113,SMB,Closed Lost,17268.12,2025-01-17,ana.lima@raptorsoft.com,Best Case,2024-11-05,11,
OPP-2024207,Core Logic,ACC-1114,SMB,closed-won,12189.65,2024-06-03,pedro@raptorsoft.com,Commit,2023-10-29,47,HS-90423
OPP-2024208,MINDBOX,ACC-1111,SMB,Discovery,25217.79,2023-08-24,ana.lima@raptorsoft.com,Omit,2024-11-07,66,HS-90628
OPP-2024209,corelogic,,SMB,qualification,21508.4,2024-07-19,mariana@raptorsoft.com,Pipeline,2023-07-06,67,HS-90792
OPP-2024210,ZENTRA,ACC-1112,SMB,Closed Lost,33136.85,2024-10-13,carlos@raptorsoft.com,Best Case,2024-01-23,1,
OPP-2024211,AMPLIA SOLUCOES,ACC-1113,SMB,closed-won,7401.6,2024-11-15,ana.lima@raptorsoft.com,Commit,2024-01-22,52,
OPP-2024212,beta solutions,ACC-1101,SMB,Closed Lost,14019.27,2024-06-10,carlos@raptorsoft.com,Omit,2023-10-28,59,
OPP-2024213,Beta Solutions Ltda,ACC-1101,Mid-Market,Closed Won,79491.12,2024-06-24,carlos@raptorsoft.com,Pipeline,2024-02-11,120,
OPP-2024214,polaris,ACC-1118,Mid-Market,Proposal,59046.78,2024-05-17,joao@raptorsoft.com,pipeline,2024-01-11,87,HS-90782
OPP-2024215,BluePath,ACC-1119,Enterprise,Negotiation,329807.75,2024-08-30,pedro@raptorsoft.com,Commit,2024-07-15,68,HS-90033
OPP-2024216,Connect Wave,ACC-1107,Mid-Market,Proposal,-85208.47,2024-04-11,pedro@raptorsoft.com,Pipeline,2023-12-26,24,
OPP-2024217,Vertice,ACC-1103,SMB,Closed Won,17777.73,2025-01-27,ana.lima@raptorsoft.com,Pipeline,2024-09-02,110,
OPP-2024218,Innova Tech,ACC-1116,SMB,Qualification,34728.65,2024-12-31,ana.lima@raptorsoft.com,Pipeline,2024-11-23,105,
OPP-2024219,connectwave,ACC-1107,Mid-Market,prospecting,111550.3,2024-12-20,pedro@raptorsoft.com,Commit,2024-03-20,95,HS-90293
OPP-2024220,bluepath,ACC-1119,Enterprise,Proposal,128537.63,2024-08-07,pedro@raptorsoft.com,Commit,2024-06-10,35,HS-90533
OPP-2024221,Sky Ops,ACC-1108,SMB,Qualification,28170.79,2024-01-10,pedro@raptorsoft.com,omit,2023-07-24,99,
OPP-2024222,Amplia,ACC-1113,Enterprise,Qualification,152510.84,2024-01-01,mariana@raptorsoft.com,Commit,2024-05-12,70,HS-90714
OPP-2024223,Mindbox,ACC-1111,Mid-Market,Negotiation,139070.78,2024-10-10,ana.lima@raptorsoft.com,Commit,2024-09-18,1,HS-90480
OPP-2024224,Amplia,ACC-1113,Mid-Market,Prop,101640.45,2024-11-24,ana.lima@raptorsoft.com,Omit,2024-10-31,83,HS-90081
OPP-2024225,ORBIT DIGITAL,ACC-1104,Mid-Market,Discovery,62258.64,2024-06-12,carlos@raptorsoft.com,Omit,2024-04-04,63,
OPP-2024226,BluePath,,SMB,Closed Won,5287.14,2024-06-08,mariana@raptorsoft.com,Omit,2023-11-06,5,
OPP-2024227,rushflow,ACC-1110,SMB,Closed Lost,5441.54,2024-10-25,pedro@raptorsoft.com,pipeline,2024-03-13,27,HS-90162
OPP-2024228,Acme Corp,,Enterprise,Discovery,120835.01,2023-12-30,ana.lima@raptorsoft.com,Omit,2023-11-03,75,HS-90043
OPP-2024229,Amplia,ACC-1113,Mid-Market,Discovery,89990.3,2024-12-28,ana.lima@raptorsoft.com,Pipeline,2023-12-06,102,HS-90571
OPP-2024230,TAPFLOW,ACC-1115,Mid-Market,Closed Won,72980.1,2025-01-24,mariana@raptorsoft.com,Commit,2024-09-22,24,HS-90281
OPP-2024231,mindbox,ACC-1111,Enterprise,Prospecting,316642.38,2025-01-12,joao@raptorsoft.com,Omit,2023-12-12,47,HS-90064
OPP-2024232,Rush Flow,ACC-1110,SMB,Closed Lost,26456.37,2025-01-26,ana.lima@raptorsoft.com,Pipeline,2024-11-21,5,HS-90032
OPP-2024233,innova,ACC-1116,Mid-Market,Prospecting,38504.88,2024-11-25,joao@raptorsoft.com,Pipeline,2024-03-19,96,
OPP-2024234,zentra,ACC-1112,Mid-Market,Closed Lost,145270.41,2024-06-09,ana.lima@raptorsoft.com,Best Case,2023-09-11,23,HS-90108
OPP-2024235,Mind Box,ACC-1111,Mid-Market,Prospecting,78186.86,2025-01-01,carlos@raptorsoft.com,Commit,2024-09-10,53,HS-90331
OPP-2024236,Mind Box,ACC-1111,SMB,Discovery,20662.49,2023-05-19,ana.lima@raptorsoft.com,best case,2024-03-17,3,HS-90523
OPP-2024237,Polaris,ACC-1118,SMB,Proposal,9844.29,2024-02-14,carlos@raptorsoft.com,Best Case,2023-08-08,23,HS-90097
OPP-2024238,DataPrime,,Mid-Market,Prospecting,70126.76,2024-08-24,pedro@raptorsoft.com,Best Case,2024-07-25,82,
OPP-2024239,RushFlow,ACC-1110,SMB,Closed Won,6768.19,2025-01-29,mariana@raptorsoft.com,Omit,2024-11-26,44,
OPP-2024240,Beta Solutions Ltda,ACC-1101,Mid-Market,Closed Lost,88543.33,2024-09-21,carlos@raptorsoft.com,Best Case,2023-11-11,42,HS-90687
OPP-2024241,connectwave,ACC-1107,SMB,Negotiation,31938.85,2025-01-08,ana.lima@raptorsoft.com,Best Case,2024-06-17,48,
OPP-2024242,zentra,ACC-1112,SMB,Prospecting,33149.83,2025-01-20,pedro@raptorsoft.com,Commit,2024-04-20,19,HS-90679
OPP-2024243,Fluxo,ACC-1105,SMB,Closed Lost,14494.85,2024-12-25,joao@raptorsoft.com,Commit,2024-01-22,114,HS-90520
OPP-2024244,beta solutions,ACC-1101,SMB,Qualification,38837.7,2025-01-13,,Commit,2023-09-29,88,
OPP-2024245,beta solutions,ACC-1101,SMB,Closed Lost,38044.78,2024-11-08,pedro@raptorsoft.com,Pipeline,2024-07-31,79,
OPP-2024246,BLUEPATH,,Enterprise,Proposal,316541.53,2024-06-20,ana.lima@raptorsoft.com,Best Case,2024-06-02,73,HS-90545
OPP-2024247,nexus,ACC-1102,SMB,DISCOVERY,35804.62,2025-01-20,joao@raptorsoft.com,best case,2023-11-27,4,
OPP-2024248,ORBIT DIGITAL,ACC-1104,Mid-Market,Prospecting,90278.95,2024-10-05,ana.lima@raptorsoft.com,Omit,2024-07-02,-5,HS-90227
OPP-2024249,Blue Path,ACC-1119,Mid-Market,Qualification,134055.48,2024-12-17,joao@raptorsoft.com,Omit,2023-09-06,106,HS-90760
OPP-2024250,RushFlow,ACC-1110,Mid-Market,Prop,35089.91,2024-09-17,pedro@raptorsoft.com,Pipeline,2023-08-09,7,HS-90311
OPP-2024251,Fluxo,ACC-1105,SMB,Negotiation,29148.35,2024-06-12,mariana@raptorsoft.com,best case,2024-04-27,750,HS-90206
OPP-2024252,Beta Solutions Ltda,ACC-1101,SMB,Closed Won,8191.69,2024-12-11,,Best Case,2023-12-15,22,
OPP-2024253,Grupo Nexus,ACC-1102,Mid-Market,Proposal,145315.93,2024-01-03,,Pipeline,2023-08-22,64,HS-90622
OPP-2024254,Orbit,ACC-1104,Mid-Market,Proposal,102012.25,2025-01-17,joao@raptorsoft.com,best case,2024-10-30,5,
OPP-2024255,polaris,ACC-1118,SMB,Qualification,14953.32,2025-01-20,carlos@raptorsoft.com,Omit,2024-08-30,12,HS-90388
OPP-2024256,TAPFLOW,ACC-1115,Enterprise,Discovery,231683.41,2024-04-06,mariana@raptorsoft.com,pipeline,2023-09-05,78,
OPP-2024257,Mind Box,ACC-1111,Mid-Market,Negotiation,105822.91,2024-09-17,joao@raptorsoft.com,Commit,2023-11-10,60,HS-90212
OPP-2024258,Blue Path,ACC-1119,SMB,Discovery,27312.62,2023-11-04,joao@raptorsoft.com,Commit,2024-06-06,44,HS-90029
OPP-2024259,VERTICE TECH,ACC-1103,Enterprise,Proposal,350880.2,2025-01-09,mariana@raptorsoft.com,Omit,2024-11-02,8,
OPP-2024260,RushFlow,ACC-1110,SMB,Closed Lost,32852.4,2024-08-29,mariana@raptorsoft.com,Best Case,2024-06-04,15,HS-90322
OPP-2024261,Fluxo Sistemas Ltda,ACC-1105,SMB,Discovery,38275.44,2024-03-19,joao@raptorsoft.com,Pipeline,2024-02-29,116,HS-90495
OPP-2024262,Rush Flow,ACC-1110,Mid-Market,Closed Lost,142562.86,2024-11-28,pedro@raptorsoft.com,Omit,2023-11-24,40,HS-90341
OPP-2024263,Acme Corp.,ACC-1100,Mid-Market,Prospecting,137056.27,2024-10-03,carlos@raptorsoft.com,Omit,2024-05-15,36,HS-90211
OPP-2024264,rushflow,ACC-1110,SMB,Negotiation,7493.5,2023-02-21,joao@raptorsoft.com,Pipeline,2024-04-16,23,HS-90706
OPP-2024265,Zentra Tech,ACC-1112,SMB,Closed Won,33325.49,2024-11-04,mariana@raptorsoft.com,commit,2024-01-19,29,
OPP-2024266,polaris,ACC-1118,SMB,Proposal,7287.78,2024-08-08,mariana@raptorsoft.com,Best Case,2024-05-28,102,HS-90309
OPP-2024267,Sky Ops,ACC-1108,SMB,Negotiation,21883.11,2024-10-12,carlos@raptorsoft.com,Omit,2024-03-06,31,HS-90728
OPP-2024268,POLARE,ACC-1109,Mid-Market,Discovery,51140.88,2024-10-30,joao@raptorsoft.com,Omit,2024-10-17,105,HS-90651
OPP-2024269,TAPFLOW,ACC-1115,Mid-Market,Negotiation,83659.17,2024-11-13,mariana@raptorsoft.com,Commit,2024-10-06,118,HS-90626
OPP-2024270,SkyOps,ACC-1108,SMB,Prospecting,24210.98,2023-10-16,pedro@raptorsoft.com,Pipeline,2024-04-27,41,
OPP-2024271,Vértice Tech,ACC-1103,SMB,Closed Lost,34398.69,2024-08-31,mariana@raptorsoft.com,omit,2024-07-28,18,HS-90712
OPP-2024272,SkyOps,ACC-1108,SMB,Negotiation,-18465.02,2025-01-12,carlos@raptorsoft.com,Best Case,2024-09-07,70,HS-90581
OPP-2024273,connectwave,ACC-1107,Mid-Market,Qualification,133122.08,2023-04-01,joao@raptorsoft.com,Best Case,2023-09-20,70,HS-90351
OPP-2024274,Acme Corp,ACC-1100,Mid-Market,Negotiation,145269.76,2024-10-27,pedro@raptorsoft.com,Commit,2024-10-23,81,HS-90672
OPP-2024275,Innova,ACC-1116,Mid-Market,Negotiation ,124051.54,2024-09-06,pedro@raptorsoft.com,Pipeline,2024-04-19,76,
OPP-2024276,CoreLogic,ACC-1114,Mid-Market,Discovery,101465.29,2024-09-28,ana.lima@raptorsoft.com,Best Case,2023-08-03,94,HS-90773
OPP-2024277,Beta Solutions,ACC-1101,Mid-Market,Discovery,140695.11,2024-12-18,,Best Case,2024-10-30,119,HS-90542
OPP-2024278,acme,ACC-1100,Enterprise,Closed Lost,233986.96,2024-07-22,ana.lima@raptorsoft.com,Omit,2024-06-27,76,HS-90706
OPP-2024279,dataprime,ACC-1106,SMB,Prop,8419.46,2024-04-24,joao@raptorsoft.com,pipeline,2023-07-09,85,
OPP-2024280,BLUEPATH,ACC-1119,SMB,Proposal,36496.4,2024-11-01,joao@raptorsoft.com,Commit,2023-11-11,119,HS-90683
OPP-2024281,DataPrime,ACC-1106,SMB,Discovery,18397.97,2024-01-27,ana.lima@raptorsoft.com,Pipeline,2023-09-14,23,HS-90787
OPP-2024282,ZENTRA,ACC-1112,SMB,Closed Won,6220.13,2024-09-29,joao@raptorsoft.com,Best Case,2024-09-25,86,HS-90400
OPP-2024283,RUSHFLOW,ACC-1110,Enterprise,Proposal,414152.68,2024-11-14,carlos@raptorsoft.com,commit,2024-11-14,52,
OPP-2024284,Polare Ltda,ACC-1109,Mid-Market,Qualification,109288.09,2024-03-18,mariana@raptorsoft.com,Commit,2024-01-24,-5,
OPP-2024285,rushflow,,SMB,prospecting,16820.15,2024-12-25,pedro@raptorsoft.com,Omit,2024-10-03,75,HS-90144
OPP-2024286,acme,ACC-1100,Enterprise,Qualification,119983.2,2023-11-23,joao@raptorsoft.com,Best Case,2023-08-16,14,
OPP-2024287,Orbit Digital,ACC-1104,SMB,Discovery,28943.09,2024-10-08,joao@raptorsoft.com,Best Case,2024-08-15,97,
OPP-2024288,Mindbox,ACC-1111,SMB,Closed Lost,35786.94,2025-01-16,mariana@raptorsoft.com,Commit,2024-07-20,27,
OPP-2024289,Vertice Tech,ACC-1103,Mid-Market,Closed Won,105263.0,2024-01-03,pedro@raptorsoft.com,pipeline,2024-01-01,98,HS-90788
OPP-2024290,Orbit Digital,,SMB,Closed Lost,34532.36,2023-11-15,mariana@raptorsoft.com,Commit,2023-10-24,79,
OPP-2024291,rushflow,ACC-1110,SMB,Proposal,7480.08,2024-10-01,joao@raptorsoft.com,Commit,2023-07-30,13,HS-90384
OPP-2024292,Beta Solutions Ltda,ACC-1101,Mid-Market,Proposal,84598.9,2024-03-10,,Commit,2023-08-25,73,HS-90476
OPP-2024293,Vértice Tech,ACC-1103,SMB,Negotiation,32809.79,2024-06-18,ana.lima@raptorsoft.com,Omit,2024-04-28,108,HS-90753
OPP-2024294,Orbit,ACC-1104,SMB,Negotiation,36981.42,2024-10-10,mariana@raptorsoft.com,Pipeline,2024-02-13,103,
OPP-2024295,tapflow,ACC-1115,Mid-Market,Qualification,107716.82,2024-11-06,,Omit,2024-08-20,59,
OPP-2024296,gridsoft,ACC-1117,Mid-Market,Closed Lost,112890.08,2024-04-03,joao@raptorsoft.com,Best Case,2023-07-02,43,
OPP-2024297,beta solutions,ACC-1101,SMB,DISCOVERY,11134.36,2023-12-09,mariana@raptorsoft.com,Best Case,2024-10-19,97,
OPP-2024298,connectwave,ACC-1107,SMB,DISCOVERY,17082.93,2025-01-20,carlos@raptorsoft.com,Commit,2024-09-06,89,
OPP-2024299,connectwave,ACC-1107,SMB,Prospecting,8920.86,2025-01-16,pedro@raptorsoft.com,Commit,2023-09-17,61,
OPP-2024300,beta solutions,ACC-1101,Enterprise,Closed Lost,237116.99,2024-08-08,pedro@raptorsoft.com,Omit,2024-02-23,102,HS-90380
OPP-2024301,tapflow,ACC-1115,SMB,Discovery,10822.71,2024-08-09,joao@raptorsoft.com,pipeline,2024-06-26,74,HS-90210
OPP-2024302,Acme Corp,ACC-1100,SMB,Qualification,23895.33,2024-09-28,carlos@raptorsoft.com,Best Case,2024-06-17,95,
OPP-2024303,GRIDSOFT,ACC-1117,Enterprise,Closed Lost,375658.79,2023-12-18,mariana@raptorsoft.com,Pipeline,2023-11-28,29,HS-90622
OPP-2024304,mindbox,ACC-1111,SMB,Negotiation ,34730.8,2024-10-28,pedro@raptorsoft.com,Commit,2024-04-10,117,
OPP-2024305,Connect Wave,ACC-1107,SMB,Discovery,35600.56,2024-10-08,mariana@raptorsoft.com,omit,2024-06-24,76,HS-90486
OPP-2024306,rushflow,ACC-1110,SMB,closed-won,37004.37,2025-01-28,carlos@raptorsoft.com,omit,2024-07-19,6,HS-90311
OPP-2024307,CORELOGIC,ACC-1114,SMB,Qualification,38460.93,2024-04-22,,Omit,2023-07-03,98,HS-90370
OPP-2024308,mindbox,ACC-1111,Enterprise,Closed Won,107018.03,2025-01-12,ana.lima@raptorsoft.com,Commit,2024-10-30,7,
OPP-2024309,Fluxo Sistemas Ltda,,Mid-Market,Negotiation,121762.73,2024-02-29,carlos@raptorsoft.com,Commit,2023-09-17,75,
OPP-2024310,TapFlow,ACC-1115,SMB,Prospecting,22618.4,2024-12-01,joao@raptorsoft.com,Pipeline,2023-12-14,17,
OPP-2024311,Innova,,Enterprise,Qualification,188943.14,2024-07-21,joao@raptorsoft.com,best case,2024-06-15,98,HS-90495
OPP-2024312,ACME CORP,ACC-1100,SMB,DISCOVERY,6514.85,2024-01-03,ana.lima@raptorsoft.com,Best Case,2023-08-30,-1,
OPP-2024313,gridsoft,ACC-1117,Mid-Market,Negotiation,99376.04,2024-06-10,,Best Case,2024-03-04,93,HS-90724
OPP-2024314,AMPLIA SOLUCOES,ACC-1113,SMB,Qualification,39345.54,2024-11-10,pedro@raptorsoft.com,Pipeline,2023-10-18,98,
OPP-2024315,Polare Ltda,ACC-1109,SMB,Negotiation,29046.63,2025-01-27,mariana@raptorsoft.com,Pipeline,2024-10-10,48,HS-90405
OPP-2024316,Amplia,ACC-1113,SMB,Proposal,25669.5,2023-12-27,pedro@raptorsoft.com,Best Case,2023-11-24,52,HS-90285
OPP-2024317,tapflow,ACC-1115,Mid-Market,Discovery,78533.23,2023-09-14,,Omit,2024-08-13,95,HS-90027
OPP-2024318,CONNECTWAVE,ACC-1107,Mid-Market,Discovery,39182.07,2025-01-12,mariana@raptorsoft.com,Commit,2023-12-04,70,
OPP-2024319,skyops,ACC-1108,Enterprise,Proposal,113143.92,2024-10-12,ana.lima@raptorsoft.com,Best Case,2024-07-27,50,HS-90502
OPP-2024320,Amplia Soluções Ltda,ACC-1113,Mid-Market,Negotiation,76966.18,2025-01-16,joao@raptorsoft.com,Commit,2024-10-30,17,
OPP-2024321,gridsoft,ACC-1117,SMB,Proposal,17507.81,2024-09-03,joao@raptorsoft.com,Pipeline,2023-10-08,15,HS-90038
OPP-2024322,GridSoft,ACC-1117,Mid-Market,Prop,148291.77,2024-05-15,ana.lima@raptorsoft.com,Pipeline,2024-09-04,65,
OPP-2024323,Sky Ops,ACC-1108,Mid-Market,Closed Lost,61818.61,2024-10-31,pedro@raptorsoft.com,Pipeline,2023-09-16,44,HS-90486
OPP-2024324,DATAPRIME,ACC-1106,SMB,Negotiation,20151.87,2025-01-23,pedro@raptorsoft.com,Best Case,2024-05-05,74,HS-90653
OPP-2024325,zentra,ACC-1112,Mid-Market,Negotiation,54077.76,2024-12-02,joao@raptorsoft.com,Omit,2024-09-17,109,HS-90262
OPP-2024326,Orbit,ACC-1104,SMB,Closed_Lost,33953.01,2024-10-27,joao@raptorsoft.com,best case,2023-12-01,103,HS-90043
OPP-2024327,Polare,ACC-1109,SMB,Discovery,35351.01,2024-08-25,ana.lima@raptorsoft.com,Omit,2023-09-24,74,HS-90594
OPP-2024328,Polaris,ACC-1118,SMB,Qualification,32061.68,2024-11-16,ana.lima@raptorsoft.com,Best Case,2023-10-01,23,HS-90260
OPP-2024329,Beta Solutions,ACC-1101,Mid-Market,Discovery,59561.6,2024-01-06,joao@raptorsoft.com,Commit,2023-10-24,116,
OPP-2024330,MINDBOX,ACC-1111,SMB,Closed Lost,-23721.87,2024-10-14,ana.lima@raptorsoft.com,Commit,2024-07-06,111,HS-90785
OPP-2024331,TAPFLOW,ACC-1115,SMB,Closed Lost,22209.22,2024-04-24,carlos@raptorsoft.com,Pipeline,2023-09-21,46,HS-90464
OPP-2024332,tapflow,ACC-1115,Mid-Market,Closed Won,30369.1,2024-10-25,ana.lima@raptorsoft.com,Best Case,2024-01-05,88,
OPP-2024333,VERTICE TECH,ACC-1103,Mid-Market,Closed Lost,74111.95,2024-12-30,pedro@raptorsoft.com,pipeline,2024-05-31,81,
OPP-2024334,GRIDSOFT,ACC-1117,SMB,Negotiation,8117.14,2025-01-24,mariana@raptorsoft.com,Omit,2024-09-12,92,
OPP-2024335,SkyOps,,SMB,Closed Lost,28701.6,2024-07-03,ana.lima@raptorsoft.com,Best Case,2024-02-06,88,HS-90136
OPP-2024336,BluePath,ACC-1119,SMB,Closed Won,19815.18,2024-02-29,carlos@raptorsoft.com,Best Case,2024-02-03,86,
OPP-2024337,rushflow,ACC-1110,SMB,Closed Won,38882.02,2024-12-14,ana.lima@raptorsoft.com,Commit,2024-08-08,91,
OPP-2024338,Nexus Group,ACC-1102,Enterprise,Closed Won,205286.56,2024-08-26,carlos@raptorsoft.com,Omit,2024-04-13,63,HS-90673
OPP-2024339,skyops,ACC-1108,SMB,Qualification,21458.66,2024-01-01,joao@raptorsoft.com,Omit,2023-08-25,111,
OPP-2024340,Vertice,ACC-1103,Mid-Market,Negotiation,100025.69,2025-01-22,mariana@raptorsoft.com,Pipeline,2024-04-05,114,
OPP-2024341,ConnectWave,ACC-1107,Enterprise,Closed Lost,383082.66,2024-09-02,joao@raptorsoft.com,Pipeline,2023-10-17,58,HS-90049
OPP-2024342,FLUXO SISTEMAS,ACC-1105,Mid-Market,Negotiation,77863.02,2024-11-27,ana.lima@raptorsoft.com,Pipeline,2023-09-11,52,HS-90502
OPP-2024343,Core Logic,,Enterprise,Discovery,295849.21,2024-07-12,carlos@raptorsoft.com,omit,2023-11-12,56,HS-90349
OPP-2024344,Amplia Soluções Ltda,,Mid-Market,Proposal,40076.41,2025-01-19,carlos@raptorsoft.com,Best Case,2023-12-06,67,HS-90078
OPP-2024345,rushflow,ACC-1110,Mid-Market,Prospecting,127538.97,2024-04-18,,Best Case,2024-08-26,54,HS-90741
OPP-2024346,AMPLIA SOLUCOES,ACC-1113,Mid-Market,Discovery,52463.01,2025-01-31,,Pipeline,2024-03-28,750,HS-90673
OPP-2024347,Zentra,ACC-1112,Mid-Market,Closed Won,77399.67,2024-07-07,ana.lima@raptorsoft.com,Pipeline,2024-07-04,27,HS-90446
OPP-2024348,GRIDSOFT,,Mid-Market,Discovery,80625.51,2024-10-09,mariana@raptorsoft.com,Omit,2023-09-27,26,
OPP-2024349,innova,,SMB,Closed Lost,25253.14,2024-12-09,joao@raptorsoft.com,Omit,2024-08-29,55,HS-90663
OPP-2024350,Polare Ltda,ACC-1109,Mid-Market,Proposal,64561.29,2024-08-18,mariana@raptorsoft.com,Commit,2024-06-20,38,HS-90689
OPP-2024351,CONNECTWAVE,ACC-1107,Mid-Market,Negotiation,40343.03,2024-03-02,mariana@raptorsoft.com,Pipeline,2023-12-13,27,
OPP-2024352,Vertice,ACC-1103,Mid-Market,Prospecting,43676.32,2025-01-28,joao@raptorsoft.com,Commit,2024-11-27,72,HS-90527
OPP-2024353,Grupo Nexus,ACC-1102,SMB,Closed Lost,34455.89,2024-10-17,ana.lima@raptorsoft.com,Pipeline,2024-09-21,112,HS-90299
OPP-2024354,TAPFLOW,ACC-1115,Mid-Market,Qualification,46532.7,2024-05-09,mariana@raptorsoft.com,Pipeline,2023-10-10,65,HS-90772
OPP-2024355,Zentra Tech,ACC-1112,SMB,Closed Lost,33061.9,2025-01-14,mariana@raptorsoft.com,Commit,2024-09-04,2,
OPP-2024356,SkyOps,,Mid-Market,Prospecting,140702.26,2025-01-28,pedro@raptorsoft.com,Omit,2024-09-17,93,HS-90286
OPP-2024357,Zentra Tech,ACC-1112,SMB,Proposal,36065.29,2024-11-13,carlos@raptorsoft.com,Omit,2024-08-17,69,
OPP-2024358,Beta Solutions,ACC-1101,Mid-Market,Closed Lost,136838.32,2025-01-12,joao@raptorsoft.com,Omit,2024-06-13,108,HS-90048
OPP-2024359,polaris,ACC-1118,SMB,Proposal,13263.41,2025-01-02,carlos@raptorsoft.com,Best Case,2023-07-06,105,HS-90532
OPP-2024360,nexus,ACC-1102,Mid-Market,Closed Lost,47586.39,2024-03-01,mariana@raptorsoft.com,Best Case,2024-01-14,87,
OPP-2024361,Fluxo,ACC-1105,Mid-Market,Proposal,117806.04,2024-04-13,pedro@raptorsoft.com,Best Case,2024-09-06,16,
OPP-2024362,MINDBOX,ACC-1111,Enterprise,Negotiation,215836.23,2023-12-29,,Commit,2023-10-30,19,HS-90312
OPP-2024363,orbit digital,ACC-1104,Mid-Market,Prospecting,134451.18,2025-01-23,mariana@raptorsoft.com,Commit,2024-11-12,107,HS-90471
OPP-2024364,Amplia,ACC-1113,SMB,Prospecting,28257.58,2024-03-29,ana.lima@raptorsoft.com,Commit,2024-05-29,74,HS-90126
OPP-2024365,beta solutions,ACC-1101,Enterprise,Negotiation,107465.63,2024-02-24,ana.lima@raptorsoft.com,Commit,2023-08-24,108,HS-90546
OPP-2024366,SKYOPS,ACC-1108,SMB,Discovery,19522.77,2023-11-18,ana.lima@raptorsoft.com,Best Case,2023-07-24,12,HS-90060
OPP-2024367,DataPrime,ACC-1106,SMB,Discovery,16201.45,2023-09-03,pedro@raptorsoft.com,Best Case,2023-08-29,15,
OPP-2024368,acme,ACC-1100,Mid-Market,Discovery,42181.13,2023-11-25,pedro@raptorsoft.com,Omit,2023-07-20,19,HS-90550
OPP-2024369,BluePath,ACC-1119,Mid-Market,Prospecting,104487.59,2023-10-12,carlos@raptorsoft.com,Omit,2023-08-12,49,
