telemetry_id,account_domain,week_start,active_users,sessions_total,feature_depth_score,automation_runs,api_calls,last_login_days_ago,plan_tier,customer_id_fk
TEL-00841,fluxosistemas.com.br,2024-03-02,58,519,0.634,274,1983,25,Starter,
TEL-00842,acmecorp.com.br,2024-10-26,53,525,0.832,144,1868,6,Starter,CUST-0400
TEL-00843,polare.com.br,2024-05-18,40,272,0.142,11,38,2,Enterprise,
TEL-00844,acmecorp.com.br,2024-06-15,33,101,1.217,320,1815,-1,Enterprise,
TEL-00845,verticetech.com.br,2024-01-27,40,194,0.481,358,663,9,Business,CUST-0403
TEL-00846,dataprime.com.br,2024-02-17,22,89,0.677,326,1609,1,GROWTH,CUST-0406
TEL-00847,innova.com.br,2024-04-13,11,68,0.85,570,,26,enterprise plan,CUST-0416
TEL-00848,acmecorp.com.br,2024-07-06,34,251,0.629,356,1779,29,GROWTH,
TEL-00849,innova.com.br,2024-11-02,53,168,0.173,247,1223,12,Growth,CUST-0416
TEL-00850,corelogic.com.br,2024-10-26,37,234,0.458,145,1450,7,Starter,
TEL-00851,zentra.com.br,2024-08-24,2,11,0.375,422,505,20,Growth,CUST-0412
TEL-00852,verticetech.com.br,2024-10-05,24,95,0.381,502,477,27,Growth,
TEL-00853,ampliasolucoes.com.br,2024-11-23,29,142,0.193,750,2977,27,Enterprise,CUST-0413
TEL-00854,fluxosistemas.com.br,2024-06-15,33,329,0.712,336,889,5,Growth,CUST-0405
TEL-00855,rushflow.com.br,2024-12-14,18,99,0.645,521,,2,Enterprise,CUST-0410
TEL-00856,zentra.com.br,2024-04-06,22,194,0.974,189,501,11,Enterprise,CUST-0412
TEL-00857,orbitdigital.com.br,2024-02-24,49,488,0.784,142,1265,20,Starter,
TEL-00858,connectwave.com.br,2024-05-18,44,290,0.667,126,,22,Enterprise,
TEL-00859,connectwave.com.br,2024-04-20,44,269,0.991,18,1864,16,growth,
TEL-00860,skyops.com.br,2024-03-23,54,506,1.316,84,856,11,enterprise plan,CUST-0408
TEL-00861,polare.com.br,2024-01-06,55,536,0.47,78,1895,20,GROWTH,
TEL-00862,zentra.com.br,2024-08-31,47,408,0.521,588,987,30,Business,
TEL-00863,corelogic.com.br,2024-07-06,41,381,0.377,459,199,1,enterprise plan,
TEL-00864,zentra.com.br,2024-07-06,29,259,0.724,557,1335,3,Enterprise,CUST-0412
TEL-00865,orbitdigital.com.br,2024-02-24,19,73,0.195,9,1404,8,growth,CUST-0404
TEL-00866,dataprime.com.br,2024-03-16,19,89,0.745,232,1492,19,Enterprise,CUST-0406
TEL-00867,mindbox.com.br,2024-08-10,27,263,0.697,519,571,2,BUSINESS,CUST-0411
TEL-00868,bluepath.com.br,2024-07-20,27,259,0.642,353,1909,16,starter,CUST-0419
TEL-00869,bluepath.com.br,2024-11-30,10,83,0.289,448,1612,28,Business,
TEL-00870,zentra.com.br,2024-06-29,23,130,0.661,368,1142,30,Business,CUST-0412
TEL-00871,gruponexus.com.br,2024-07-13,53,181,0.198,192,445,15,Enterprise,CUST-0402
TEL-00872,dataprime.com.br,2024-02-10,36,165,0.471,56,280,16,enterprise plan,CUST-0406
TEL-00873,innova.com.br,2024-02-03,30,298,0.924,549,145,9,Enterprise,CUST-0416
TEL-00874,mindbox.com.br,2024-10-12,59,317,0.11,208,1642,18,GROWTH,
TEL-00875,polaris.com.br,2024-01-20,47,242,0.262,90,199,0,Starter,
TEL-00876,corelogic.com.br,2024-10-19,34,292,0.946,344,1547,13,growth,CUST-0414
TEL-00877,dataprime.com.br,2024-04-06,52,159,0.149,599,1296,20,Enterprise,CUST-0406
TEL-00878,gruponexus.com.br,2024-06-15,58,213,0.348,493,,25,Growth,CUST-0402
TEL-00879,mindbox.com.br,2024-11-30,2,14,0.525,466,1860,9,Enterprise,
TEL-00880,corelogic.com.br,2025-01-04,25,106,0.942,191,1667,19,Enterprise,CUST-0414
TEL-00881,gruponexus.com.br,2024-07-06,29,139,0.379,559,1125,30,Business,CUST-0402
TEL-00882,polaris.com.br,2024-03-09,11,92,0.803,172,1784,27,Growth,
TEL-00883,rushflow.com.br,2024-08-10,28,228,0.367,240,878,1,BUSINESS,CUST-0410
TEL-00884,verticetech.com.br,2024-07-13,20,168,0.264,262,597,4,BUSINESS,CUST-0403
TEL-00885,tapflow.com.br,2024-03-16,7,49,0.778,145,1123,17,Business,
TEL-00886,betasolutions.com.br,2024-12-28,11,109,0.867,471,1711,12,Starter,CUST-0401
TEL-00887,ampliasolucoes.com.br,2024-10-05,27,181,0.395,50,1410,1,Business,
TEL-00888,innova.com.br,2024-08-17,47,408,1.174,87,679,6,Business,CUST-0416
TEL-00889,acmecorp.com.br,2024-03-02,6,30,0.406,243,1057,9,starter,CUST-0400
TEL-00890,tapflow.com.br,2024-03-02,3,21,0.417,73,609,11,enterprise plan,CUST-0415
TEL-00891,orbitdigital.com.br,2024-02-10,26,176,0.784,131,721,22,Starter,
TEL-00892,connectwave.com.br,2024-03-30,52,418,0.813,84,254,20,Growth,CUST-0407
TEL-00893,gridsoft.com.br,2024-05-04,19,132,0.633,398,1913,30,Business,CUST-0417
TEL-00894,skyops.com.br,2024-11-30,41,134,0.946,401,1243,0,Starter,
TEL-00895,mindbox.com.br,2024-01-13,5,38,0.622,528,960,15,Enterprise,CUST-0411
TEL-00896,fluxosistemas.com.br,2024-03-02,2,6,1.08,420,908,-1,Starter,
TEL-00897,ampliasolucoes.com.br,2024-08-17,34,238,1.282,192,903,22,Starter,
TEL-00898,gruponexus.com.br,2024-06-01,20,175,0.783,551,839,29,growth,CUST-0402
TEL-00899,orbitdigital.com.br,2024-02-10,50,211,1.276,361,1564,9,Growth Plan,CUST-0404
TEL-00900,bluepath.com.br,2025-01-25,23,211,0.882,75,1728,7,Starter,
TEL-00901,tapflow.com.br,2024-08-03,24,120,0.585,9,543,4,Enterprise,
TEL-00902,orbitdigital.com.br,2024-08-10,14,76,0.757,263,1443,6,Growth,CUST-0404
TEL-00903,gridsoft.com.br,2024-08-10,22,123,0.374,498,,8,Growth,CUST-0417
TEL-00904,ampliasolucoes.com.br,2024-11-16,36,232,0.525,324,1268,10,Enterprise,CUST-0413
TEL-00905,ampliasolucoes.com.br,2024-02-03,32,226,0.699,422,1157,29,Business,CUST-0413
TEL-00906,ampliasolucoes.com.br,2024-02-24,22,134,0.388,88,79,16,Business,CUST-0413
TEL-00907,innova.com.br,2024-04-20,19,204,0.868,520,2112,9,Growth,
TEL-00908,bluepath.com.br,2024-06-08,3,25,0.238,335,1067,13,Starter,CUST-0419
TEL-00909,ampliasolucoes.com.br,2024-09-14,1,7,0.196,102,1346,11,Enterprise,
TEL-00910,skyops.com.br,2025-01-11,57,530,0.63,364,1585,9,Growth,CUST-0408
TEL-00911,acmecorp.com.br,2024-10-26,16,152,0.587,235,1807,16,Enterprise,CUST-0400
TEL-00912,dataprime.com.br,2024-01-13,34,275,0.136,395,927,6,growth,CUST-0406
TEL-00913,rushflow.com.br,2024-11-23,1,4,0.332,571,22,28,Starter,
TEL-00914,polaris.com.br,2024-08-03,50,370,1.092,552,1938,30,BUSINESS,CUST-0418
TEL-00915,acmecorp.com.br,2024-05-11,14,85,1.179,525,1404,14,Starter,CUST-0400
TEL-00916,ampliasolucoes.com.br,2024-08-17,35,149,0.952,590,1326,17,Business,CUST-0413
TEL-00917,ampliasolucoes.com.br,2025-01-04,34,154,0.359,474,1483,17,Business,
TEL-00918,polaris.com.br,2024-07-27,39,160,0.125,452,1466,5,Enterprise,CUST-0418
TEL-00919,verticetech.com.br,2024-06-29,13,115,0.981,173,1434,19,Growth,CUST-0403
TEL-00920,acmecorp.com.br,2024-04-13,47,335,0.7,330,715,28,Enterprise,
TEL-00921,gridsoft.com.br,2024-12-21,22,154,0.241,10,,13,Enterprise,
TEL-00922,polare.com.br,2024-04-20,24,77,0.997,112,1321,21,Business,CUST-0409
TEL-00923,zentra.com.br,2024-04-27,0,0,1.334,357,821,-1,Enterprise,CUST-0412
TEL-00924,zentra.com.br,2024-01-06,56,249,0.687,424,782,13,starter,CUST-0412
TEL-00925,polaris.com.br,2024-08-03,48,424,0.588,187,1856,2,Growth,CUST-0418
TEL-00926,verticetech.com.br,2024-12-21,47,275,0.648,387,362,4,Enterprise,CUST-0403
TEL-00927,skyops.com.br,2024-03-16,1,4,0.205,783,293,10,Business,CUST-0408
TEL-00928,dataprime.com.br,2024-01-20,51,443,0.338,258,,27,Growth Plan,
TEL-00929,mindbox.com.br,2024-12-28,55,513,0.533,371,,9,Growth,
TEL-00930,zentra.com.br,2024-04-13,57,497,0.111,517,,15,Enterprise,CUST-0412
TEL-00931,rushflow.com.br,2024-05-11,2,15,0.645,120,1810,18,Business,CUST-0410
TEL-00932,betasolutions.com.br,2024-04-06,20,52,1.255,193,709,7,growth,CUST-0401
TEL-00933,dataprime.com.br,2024-04-13,48,188,0.248,195,665,25,Business,
TEL-00934,orbitdigital.com.br,2024-01-06,25,122,0.306,460,1391,16,Growth,
TEL-00935,acmecorp.com.br,2024-07-13,11,105,0.988,433,951,-1,Business,CUST-0400
TEL-00936,bluepath.com.br,2024-05-11,18,67,0.9,471,1708,9,Growth,
TEL-00937,zentra.com.br,2024-05-11,48,392,0.393,449,37,2,Business,CUST-0412
TEL-00938,acmecorp.com.br,2024-12-14,18,58,0.16,389,765,29,GROWTH,CUST-0400
TEL-00939,rushflow.com.br,2024-01-06,19,190,1.171,798,2336,4,Enterprise,CUST-0410
TEL-00940,gridsoft.com.br,2024-11-23,28,209,0.293,51,1803,5,Enterprise,CUST-0417
TEL-00941,bluepath.com.br,2024-03-30,5,40,0.858,410,1015,20,Growth,CUST-0419
TEL-00942,innova.com.br,2024-06-08,57,596,0.291,286,1458,12,Business,CUST-0416
TEL-00943,rushflow.com.br,2024-04-20,40,214,0.476,14,,14,Growth,CUST-0410
TEL-00944,betasolutions.com.br,2024-08-10,60,573,0.418,567,1655,4,GROWTH,
TEL-00945,orbitdigital.com.br,2024-10-19,51,326,0.408,712,1597,13,Growth,CUST-0404
TEL-00946,ampliasolucoes.com.br,2024-09-21,48,254,0.9,112,1076,30,Growth,
TEL-00947,verticetech.com.br,2024-01-06,55,492,1.032,483,380,25,Growth,CUST-0403
TEL-00948,corelogic.com.br,2024-11-23,1,6,0.681,384,1938,3,Enterprise,CUST-0414
TEL-00949,dataprime.com.br,2024-11-09,30,131,0.685,245,1153,26,Growth,CUST-0406
TEL-00950,rushflow.com.br,2024-12-21,1,5,0.556,168,1416,28,Business,CUST-0410
TEL-00951,betasolutions.com.br,2024-10-05,50,296,0.451,599,484,19,Growth,CUST-0401
TEL-00952,polare.com.br,2024-02-10,38,283,0.94,180,1791,11,Growth,CUST-0409
TEL-00953,verticetech.com.br,2024-08-24,72,235,0.96,794,2741,16,Enterprise,CUST-0403
TEL-00954,gruponexus.com.br,2024-05-11,40,223,0.197,441,23,23,Enterprise,
TEL-00955,dataprime.com.br,2024-02-17,24,199,0.936,38,218,3,Enterprise,CUST-0406
TEL-00956,gridsoft.com.br,2024-01-13,7,58,0.947,195,1154,29,Starter,CUST-0417
TEL-00957,connectwave.com.br,2024-12-28,47,358,0.879,421,53,20,Starter,
TEL-00958,polaris.com.br,2024-06-29,24,72,1.103,272,1270,12,BUSINESS,CUST-0418
TEL-00959,dataprime.com.br,2024-11-02,8,34,0.681,27,342,2,Business,
TEL-00960,connectwave.com.br,2025-01-18,46,287,0.686,279,771,19,starter,CUST-0407
TEL-00961,bluepath.com.br,2024-12-28,20,124,0.664,289,1511,22,Growth Plan,CUST-0419
TEL-00962,ampliasolucoes.com.br,2024-01-06,2,19,0.115,563,238,7,Business,
TEL-00963,bluepath.com.br,2024-06-29,32,165,0.893,561,453,28,Growth,
TEL-00964,fluxosistemas.com.br,2024-12-28,38,275,0.276,230,1056,24,Business,CUST-0405
TEL-00965,skyops.com.br,2024-12-14,59,312,0.241,90,1967,9,Enterprise,CUST-0408
TEL-00966,gruponexus.com.br,2024-10-05,15,121,1.24,177,1163,5,Enterprise,CUST-0402
TEL-00967,bluepath.com.br,2024-09-21,42,319,0.459,159,,24,starter,
TEL-00968,gruponexus.com.br,2024-08-10,48,172,0.327,464,1704,17,Starter,CUST-0402
TEL-00969,gruponexus.com.br,2024-06-08,22,79,0.376,350,832,9,Enterprise,CUST-0402
TEL-00970,bluepath.com.br,2024-08-31,37,153,0.504,110,,26,enterprise plan,
TEL-00971,connectwave.com.br,2024-03-09,16,102,0.906,569,1716,4,enterprise plan,
TEL-00972,bluepath.com.br,2024-11-30,2,12,0.936,595,1617,-3,GROWTH,
TEL-00973,zentra.com.br,2024-12-28,41,301,0.771,547,481,20,Starter,
TEL-00974,betasolutions.com.br,2024-10-19,50,426,0.715,158,169,14,Growth,
TEL-00975,polaris.com.br,2024-03-02,12,61,0.35,107,571,16,Starter,
TEL-00976,dataprime.com.br,2024-11-23,12,83,0.547,122,933,26,Growth,
TEL-00977,dataprime.com.br,2024-01-06,39,194,0.37,282,182,13,GROWTH,CUST-0406
TEL-00978,mindbox.com.br,2024-11-09,0,0,0.627,372,1185,21,growth,CUST-0411
TEL-00979,orbitdigital.com.br,2024-11-02,32,318,0.667,563,244,12,Starter,CUST-0404
TEL-00980,gridsoft.com.br,2024-07-13,53,251,0.69,191,,17,Enterprise,CUST-0417
TEL-00981,connectwave.com.br,2024-12-07,53,284,0.207,434,957,12,Growth Plan,
TEL-00982,fluxosistemas.com.br,2024-02-10,18,78,0.903,225,1359,5,Starter,
TEL-00983,skyops.com.br,2024-06-08,28,161,0.479,231,1118,19,BUSINESS,CUST-0408
TEL-00984,mindbox.com.br,2024-05-04,54,313,0.838,279,1778,26,Starter,CUST-0411
TEL-00985,skyops.com.br,2024-07-06,19,189,0.548,306,1883,11,Business,
TEL-00986,rushflow.com.br,2024-03-23,11,83,1.075,36,1659,9,BUSINESS,CUST-0410
TEL-00987,tapflow.com.br,2024-08-24,22,110,0.268,426,275,3,GROWTH,
TEL-00988,innova.com.br,2024-03-30,53,184,0.314,208,,2,Business,CUST-0416
TEL-00989,skyops.com.br,2024-12-14,2,13,0.69,542,979,2,Growth Plan,CUST-0408
TEL-00990,zentra.com.br,2024-10-12,6,56,0.355,508,610,10,starter,CUST-0412
TEL-00991,ampliasolucoes.com.br,2025-01-25,20,185,0.113,88,1238,12,GROWTH,CUST-0413
TEL-00992,polare.com.br,2024-03-30,49,487,0.728,499,1148,14,Business,CUST-0409
TEL-00993,bluepath.com.br,2025-01-04,21,68,0.824,127,212,1,GROWTH,
TEL-00994,acmecorp.com.br,2024-06-08,39,272,0.515,522,1600,26,Enterprise,
TEL-00995,gridsoft.com.br,2024-08-31,16,48,0.151,124,265,0,growth,CUST-0417
TEL-00996,tapflow.com.br,2024-03-30,55,242,0.334,493,869,26,Starter,CUST-0415
TEL-00997,fluxosistemas.com.br,2024-12-07,21,199,0.729,319,1134,2,Business,CUST-0405
TEL-00998,ampliasolucoes.com.br,2024-01-27,4,19,0.693,15,267,15,Starter,CUST-0413
TEL-00999,ampliasolucoes.com.br,2024-05-11,21,154,0.378,204,292,20,Starter,
TEL-01000,connectwave.com.br,2024-06-15,58,260,0.737,77,1499,15,Growth,
TEL-01001,ampliasolucoes.com.br,2024-12-07,51,234,0.11,488,1731,23,Starter,CUST-0413
TEL-01002,orbitdigital.com.br,2024-09-07,0,17,0.385,46,,26,Business,CUST-0404
TEL-01003,corelogic.com.br,2024-09-28,38,297,0.815,48,586,-3,Starter,CUST-0414
TEL-01004,tapflow.com.br,2024-01-27,12,89,0.565,435,184,28,GROWTH,
TEL-01005,ampliasolucoes.com.br,2024-11-23,52,432,0.225,220,1819,15,Growth,
TEL-01006,acmecorp.com.br,2024-12-28,55,358,0.997,348,1753,3,Business,CUST-0400
TEL-01007,gridsoft.com.br,2024-12-21,29,197,0.152,174,1381,6,Growth Plan,CUST-0417
TEL-01008,gruponexus.com.br,2024-07-27,29,245,0.382,272,1766,18,Enterprise,
TEL-01009,gridsoft.com.br,2024-09-21,18,62,0.809,230,820,5,Enterprise,CUST-0417
TEL-01010,ampliasolucoes.com.br,2024-05-04,7,59,0.307,500,,22,BUSINESS,
TEL-01011,polaris.com.br,2024-11-09,59,443,0.993,158,1290,1,Starter,CUST-0418
TEL-01012,fluxosistemas.com.br,2024-01-06,49,345,0.464,484,1964,4,Starter,CUST-0405
TEL-01013,dataprime.com.br,2024-02-17,18,151,0.317,326,674,13,Enterprise,CUST-0406
TEL-01014,dataprime.com.br,2024-12-07,5,48,0.706,125,1914,9,Growth,
TEL-01015,polare.com.br,2024-05-25,40,388,0.328,559,407,26,Starter,
TEL-01016,dataprime.com.br,2024-10-05,15,137,0.794,90,1097,26,Growth Plan,
TEL-01017,corelogic.com.br,2024-09-21,31,178,0.248,129,1347,28,Enterprise,CUST-0414
TEL-01018,fluxosistemas.com.br,2025-01-18,5,20,1.106,246,869,0,enterprise plan,
TEL-01019,connectwave.com.br,2025-01-18,51,425,0.412,55,857,23,Starter,
TEL-01020,skyops.com.br,2024-09-07,24,101,0.304,234,1451,7,growth,
TEL-01021,connectwave.com.br,2024-10-05,11,36,0.918,394,831,18,Growth,CUST-0407
TEL-01022,polaris.com.br,2024-04-13,60,514,0.423,185,1791,0,Growth,
TEL-01023,orbitdigital.com.br,2024-07-27,54,242,0.251,516,843,8,Enterprise,CUST-0404
TEL-01024,gruponexus.com.br,2024-09-28,49,206,0.542,419,851,0,starter,
TEL-01025,bluepath.com.br,2024-08-31,27,141,0.837,479,1426,13,Starter,CUST-0419
TEL-01026,zentra.com.br,2024-07-20,51,159,0.283,9,901,11,Growth,
TEL-01027,polaris.com.br,2024-09-07,20,67,0.116,579,1451,29,Enterprise,CUST-0418
TEL-01028,gridsoft.com.br,2024-06-01,21,151,0.593,147,,17,Business,CUST-0417
TEL-01029,fluxosistemas.com.br,2024-02-17,56,544,0.646,229,1787,10,enterprise plan,
TEL-01030,polaris.com.br,2024-03-30,39,300,1.344,545,1037,17,Starter,CUST-0418
TEL-01031,dataprime.com.br,2024-04-27,32,272,0.672,73,1511,6,Growth,
TEL-01032,corelogic.com.br,2024-12-07,43,287,0.292,5,347,25,Enterprise,CUST-0414
TEL-01033,skyops.com.br,2024-04-06,21,72,0.58,331,765,22,growth,
TEL-01034,orbitdigital.com.br,2024-09-28,35,144,0.688,530,,3,enterprise plan,CUST-0404
TEL-01035,gruponexus.com.br,2024-10-26,2,17,0.489,167,939,28,Starter,
TEL-01036,betasolutions.com.br,2024-10-12,54,347,0.526,450,634,16,Starter,
TEL-01037,polaris.com.br,2024-09-07,25,122,0.298,67,516,14,Business,CUST-0418
TEL-01038,orbitdigital.com.br,2025-01-25,1,3,0.865,411,1626,24,Enterprise,CUST-0404
TEL-01039,zentra.com.br,2024-10-26,48,255,0.258,305,,23,BUSINESS,
TEL-01040,skyops.com.br,2024-11-02,38,184,0.721,511,1202,15,Growth,CUST-0408
TEL-01041,gridsoft.com.br,2024-03-16,33,143,0.787,4,,6,enterprise plan,CUST-0417
TEL-01042,verticetech.com.br,2024-09-21,53,295,0.687,486,14,9,Starter,
TEL-01043,zentra.com.br,2024-02-10,33,200,0.373,364,344,6,Growth,
TEL-01044,acmecorp.com.br,2024-05-25,66,247,0.139,146,2098,14,Starter,CUST-0400
TEL-01045,connectwave.com.br,2024-11-16,20,143,0.647,334,,17,Business,
TEL-01046,fluxosistemas.com.br,2024-07-27,28,217,1.202,329,1767,7,enterprise plan,CUST-0405
TEL-01047,skyops.com.br,2024-11-30,25,89,0.511,151,640,28,Growth,
TEL-01048,acmecorp.com.br,2024-02-17,27,175,0.76,374,606,11,Growth,CUST-0400
TEL-01049,gridsoft.com.br,2024-11-02,11,77,0.692,537,454,17,Enterprise,CUST-0417
TEL-01050,gridsoft.com.br,2024-08-17,36,261,0.694,708,,7,Business,
TEL-01051,gruponexus.com.br,2024-02-10,35,244,0.547,418,168,24,Enterprise,CUST-0402
TEL-01052,fluxosistemas.com.br,2024-08-10,47,483,0.133,53,1406,4,Enterprise,
TEL-01053,acmecorp.com.br,2024-09-07,44,438,0.252,584,267,30,Enterprise,
TEL-01054,gruponexus.com.br,2024-03-16,35,185,0.206,265,637,24,Enterprise,
TEL-01055,polaris.com.br,2024-03-16,2,7,0.642,286,61,21,Business,
TEL-01056,gruponexus.com.br,2024-05-25,37,227,0.574,534,1333,5,Business,CUST-0402
TEL-01057,gruponexus.com.br,2024-05-11,16,133,0.378,145,1265,11,Enterprise,
TEL-01058,gridsoft.com.br,2024-07-20,25,104,0.279,400,291,9,Starter,CUST-0417
TEL-01059,gruponexus.com.br,2024-11-30,50,499,0.218,103,712,10,Enterprise,
TEL-01060,connectwave.com.br,2024-04-06,0,0,0.643,38,,5,Business,CUST-0407
TEL-01061,connectwave.com.br,2024-11-02,15,141,0.827,129,1352,10,Enterprise,CUST-0407
TEL-01062,zentra.com.br,2024-09-07,44,389,0.905,66,1696,8,Enterprise,CUST-0412
TEL-01063,skyops.com.br,2024-02-03,57,445,0.208,78,1196,23,BUSINESS,
TEL-01064,connectwave.com.br,2024-03-02,34,291,0.12,502,746,30,Starter,CUST-0407
TEL-01065,innova.com.br,2024-04-06,20,177,0.157,578,,22,Enterprise,
TEL-01066,orbitdigital.com.br,2024-01-13,38,180,0.18,481,1263,28,Growth,CUST-0404
TEL-01067,gruponexus.com.br,2024-12-07,56,354,0.376,192,1449,23,BUSINESS,
TEL-01068,ampliasolucoes.com.br,2024-01-13,44,186,0.75,479,355,28,Growth Plan,
TEL-01069,betasolutions.com.br,2024-01-13,0,0,0.529,255,75,4,Enterprise,
TEL-01070,gruponexus.com.br,2024-11-23,4,37,0.817,437,265,7,Starter,CUST-0402
TEL-01071,fluxosistemas.com.br,2024-07-06,31,93,0.51,499,926,25,Enterprise,
TEL-01072,zentra.com.br,2024-02-17,8,29,0.356,181,599,8,enterprise plan,CUST-0412
TEL-01073,gridsoft.com.br,2024-06-15,19,120,0.599,413,1597,2,Starter,CUST-0417
TEL-01074,verticetech.com.br,2024-02-24,38,305,0.591,501,452,7,Growth,
TEL-01075,verticetech.com.br,2024-06-01,59,493,0.776,513,1183,12,Enterprise,CUST-0403
TEL-01076,corelogic.com.br,2024-11-02,6,18,0.457,479,1492,1,BUSINESS,
TEL-01077,bluepath.com.br,2024-11-23,47,234,0.872,468,1888,5,Business,
TEL-01078,gridsoft.com.br,2024-03-23,17,137,0.776,433,,9,Starter,CUST-0417
TEL-01079,betasolutions.com.br,2025-01-25,25,174,0.692,267,353,23,Enterprise,CUST-0401
TEL-01080,tapflow.com.br,2024-02-24,18,189,0.345,511,2627,21,Growth,CUST-0415
TEL-01081,gridsoft.com.br,2024-12-21,3,9,0.124,45,,0,Starter,
TEL-01082,orbitdigital.com.br,2024-03-09,13,81,0.634,57,642,21,Business,CUST-0404
TEL-01083,innova.com.br,2024-02-10,29,99,0.922,172,19,1,enterprise plan,
TEL-01084,skyops.com.br,2024-08-24,58,195,0.154,276,675,9,Enterprise,CUST-0408
TEL-01085,zentra.com.br,2024-11-09,50,195,0.432,167,408,1,Business,
TEL-01086,betasolutions.com.br,2024-06-15,10,76,1.047,566,1686,16,Starter,CUST-0401
TEL-01087,tapflow.com.br,2024-04-06,9,60,0.124,460,1946,5,Enterprise,CUST-0415
TEL-01088,corelogic.com.br,2024-03-02,17,147,0.139,11,,11,Growth,CUST-0414
TEL-01089,polaris.com.br,2024-11-23,29,105,0.519,67,,3,Business,CUST-0418
TEL-01090,polare.com.br,2024-03-30,15,117,0.533,322,299,28,Enterprise,CUST-0409
TEL-01091,gruponexus.com.br,2024-02-24,17,135,0.49,106,811,29,Enterprise,
TEL-01092,bluepath.com.br,2024-11-16,11,68,0.845,297,1076,10,Growth,CUST-0419
TEL-01093,fluxosistemas.com.br,2024-05-18,36,280,0.337,58,1278,3,Business,
TEL-01094,orbitdigital.com.br,2024-08-17,53,391,0.725,505,692,8,Business,CUST-0404
TEL-01095,zentra.com.br,2024-10-05,25,122,0.135,425,627,18,Growth,
TEL-01096,dataprime.com.br,2024-07-20,55,327,0.938,412,1883,12,Growth,CUST-0406
TEL-01097,polare.com.br,2024-01-20,15,111,0.444,587,1057,18,Business,CUST-0409
TEL-01098,fluxosistemas.com.br,2024-10-12,38,154,0.531,292,1738,13,Enterprise,
TEL-01099,dataprime.com.br,2024-04-13,37,375,0.86,62,1784,18,Growth,
TEL-01100,tapflow.com.br,2025-01-18,29,231,0.636,406,1324,4,Enterprise,CUST-0415
TEL-01101,polare.com.br,2024-12-14,46,150,0.672,120,1667,17,Starter,
TEL-01102,dataprime.com.br,2024-02-24,48,371,0.594,229,738,24,Starter,
TEL-01103,bluepath.com.br,2024-07-06,7,48,0.304,361,833,2,starter,CUST-0419
TEL-01104,acmecorp.com.br,2024-07-06,40,163,0.303,125,956,-1,Starter,CUST-0400
TEL-01105,mindbox.com.br,2024-07-13,58,190,0.888,36,1014,20,Business,CUST-0411
TEL-01106,ampliasolucoes.com.br,2024-12-28,7,62,0.889,235,1904,29,growth,
TEL-01107,tapflow.com.br,2024-03-16,17,98,0.786,338,733,11,Starter,CUST-0415
TEL-01108,polaris.com.br,2024-03-16,50,406,0.689,739,,28,Starter,
TEL-01109,acmecorp.com.br,2024-01-06,10,43,0.294,562,1050,19,Enterprise,CUST-0400
TEL-01110,gridsoft.com.br,2024-03-09,44,218,0.684,404,1676,5,GROWTH,
TEL-01111,betasolutions.com.br,2024-12-07,0,0,0.165,75,1286,23,growth,CUST-0401
TEL-01112,bluepath.com.br,2024-02-17,13,69,0.865,284,,16,BUSINESS,CUST-0419
TEL-01113,innova.com.br,2024-02-17,63,652,0.682,592,2068,30,growth,CUST-0416
TEL-01114,orbitdigital.com.br,2024-08-24,23,189,0.977,403,726,15,Growth,
TEL-01115,fluxosistemas.com.br,2024-05-18,46,311,0.894,139,1349,0,Business,CUST-0405
TEL-01116,betasolutions.com.br,2024-03-23,7,27,0.529,320,,27,Growth,
TEL-01117,polare.com.br,2024-06-29,11,73,0.898,157,,15,Business,CUST-0409
TEL-01118,bluepath.com.br,2024-07-20,34,172,0.207,139,,3,enterprise plan,CUST-0419
TEL-01119,acmecorp.com.br,2025-01-11,38,191,0.293,473,969,3,Enterprise,
TEL-01120,orbitdigital.com.br,2025-01-11,49,187,0.882,129,83,21,Enterprise,
TEL-01121,bluepath.com.br,2024-08-24,23,201,0.198,362,1379,13,Growth,CUST-0419
TEL-01122,innova.com.br,2024-01-27,48,432,0.285,482,2019,25,GROWTH,CUST-0416
TEL-01123,rushflow.com.br,2024-03-23,43,208,0.853,364,1860,15,Growth,CUST-0410
TEL-01124,innova.com.br,2024-10-12,7,43,0.116,200,140,7,Starter,CUST-0416
TEL-01125,corelogic.com.br,2024-09-28,18,145,0.687,423,,14,starter,CUST-0414
TEL-01126,betasolutions.com.br,2025-01-25,26,195,0.804,236,1062,12,starter,
TEL-01127,connectwave.com.br,2024-11-23,38,146,0.893,600,914,2,Starter,CUST-0407
TEL-01128,orbitdigital.com.br,2024-07-06,33,170,0.194,429,21,27,Growth,
TEL-01129,connectwave.com.br,2024-08-17,20,65,0.529,455,1996,19,Business,CUST-0407
TEL-01130,polare.com.br,2024-10-26,24,215,0.245,700,1655,0,starter,
TEL-01131,polare.com.br,2024-11-09,56,265,0.283,419,1644,25,Business,CUST-0409
TEL-01132,mindbox.com.br,2024-03-16,42,298,0.918,44,,30,Growth,CUST-0411
TEL-01133,connectwave.com.br,2024-11-02,28,169,0.646,550,528,15,Business,
TEL-01134,polare.com.br,2024-08-31,1,8,0.267,382,1013,25,Starter,
TEL-01135,orbitdigital.com.br,2024-03-23,47,392,1.248,215,1663,12,Growth,CUST-0404
TEL-01136,dataprime.com.br,2024-09-28,9,31,0.21,439,92,17,GROWTH,CUST-0406
